m_disk, sb_law, scale_factor, lnprob 
-5.427523988001591526e+00,6.881834038647233420e+00,6.797647805301987312e-02,9.051063990000000000e+08
-5.521744407298809776e+00,-1.953130208867330353e+00,6.888736315214268047e-02,1.248307844000000000e+09
-4.668601203338655026e+00,1.226182479238929091e+01,2.092593776711658415e-01,8.006282608000000000e+09
-4.307543662634536474e+00,8.863876958830717356e+00,5.997652650148502240e-02,5.911946208000000000e+09
-7.557904728605832290e+00,6.246148306854011345e+00,8.081973019839804040e-02,6.668720273437500000e+05
-1.033486032483944506e+01,3.845255565311945567e+00,5.737214025439511811e-02,6.354282070312500000e+05
-6.895244192824089957e+00,1.975313030990272889e+00,9.229079236663681463e-02,2.534608296875000000e+06
-2.558792809597352225e+00,7.470069515469635490e+00,2.023317478883206455e-01,2.286689635200000000e+10
-5.427523988001591526e+00,6.881834038647233420e+00,6.797647805301987312e-02,9.051063990000000000e+08
-5.521744407298809776e+00,-1.953130208867330353e+00,6.888736315214268047e-02,1.248307844000000000e+09
-4.668601203338655026e+00,1.226182479238929091e+01,2.092593776711658415e-01,8.006282608000000000e+09
-4.307543662634536474e+00,8.863876958830717356e+00,5.997652650148502240e-02,5.911946208000000000e+09
-7.557904728605832290e+00,6.246148306854011345e+00,8.081973019839804040e-02,6.668720273437500000e+05
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.950001018149312593e+00,3.173039144914636900e+00,1.162771012052164488e-01,1.193358286250000000e+08
-2.558792809597352225e+00,7.470069515469635490e+00,2.023317478883206455e-01,2.286689635200000000e+10
-5.427523988001591526e+00,6.881834038647233420e+00,6.797647805301987312e-02,9.051063990000000000e+08
-5.521744407298809776e+00,-1.953130208867330353e+00,6.888736315214268047e-02,1.248307844000000000e+09
-4.478405368785976393e+00,1.361085664904464565e+01,2.230605671724006922e-01,1.206200035200000000e+10
-4.307543662634536474e+00,8.863876958830717356e+00,5.997652650148502240e-02,5.911946208000000000e+09
-6.539428029215249794e+00,6.495499642263243167e+00,1.055755589772160996e-01,8.073250906250000000e+06
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.950001018149312593e+00,3.173039144914636900e+00,1.162771012052164488e-01,1.193358286250000000e+08
-2.563231215601420754e+00,7.464445571369641819e+00,2.022191197519670469e-01,2.293303811200000000e+10
-5.401852187907717706e+00,7.064064903560402620e+00,6.560323699087758365e-02,9.758750970000000000e+08
-5.521744407298809776e+00,-1.953130208867330353e+00,6.888736315214268047e-02,1.248307844000000000e+09
-4.478405368785976393e+00,1.361085664904464565e+01,2.230605671724006922e-01,1.206200035200000000e+10
-4.307543662634536474e+00,8.863876958830717356e+00,5.997652650148502240e-02,5.911946208000000000e+09
-6.242373680549865078e+00,6.643968673720753948e+00,9.513761572883727702e-02,3.118414656250000000e+07
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.950001018149312593e+00,3.173039144914636900e+00,1.162771012052164488e-01,1.193358286250000000e+08
-2.563231215601420754e+00,7.464445571369641819e+00,2.022191197519670469e-01,2.293303811200000000e+10
-5.401852187907717706e+00,7.064064903560402620e+00,6.560323699087758365e-02,9.758750970000000000e+08
-5.521744407298809776e+00,-1.953130208867330353e+00,6.888736315214268047e-02,1.248307844000000000e+09
-4.478405368785976393e+00,1.361085664904464565e+01,2.230605671724006922e-01,1.206200035200000000e+10
-4.307543662634536474e+00,8.863876958830717356e+00,5.997652650148502240e-02,5.911946208000000000e+09
-6.242373680549865078e+00,6.643968673720753948e+00,9.513761572883727702e-02,3.118414656250000000e+07
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.950001018149312593e+00,3.173039144914636900e+00,1.162771012052164488e-01,1.193358286250000000e+08
-2.563231215601420754e+00,7.464445571369641819e+00,2.022191197519670469e-01,2.293303811200000000e+10
-4.966736057635611878e+00,1.015272983812721463e+01,2.537873137046199601e-02,1.153802124000000000e+09
-5.521744407298809776e+00,-1.953130208867330353e+00,6.888736315214268047e-02,1.248307844000000000e+09
-4.478405368785976393e+00,1.361085664904464565e+01,2.230605671724006922e-01,1.206200035200000000e+10
-4.307543662634536474e+00,8.863876958830717356e+00,5.997652650148502240e-02,5.911946208000000000e+09
-6.089804618634778066e+00,7.063624216738213946e+00,8.679429991906535691e-02,6.263217900000000000e+07
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.741330528870822292e+00,6.752837336117307743e-01,9.318617960408691336e-02,4.202449645000000000e+08
-2.563231215601420754e+00,7.464445571369641819e+00,2.022191197519670469e-01,2.293303811200000000e+10
-4.966736057635611878e+00,1.015272983812721463e+01,2.537873137046199601e-02,1.153802124000000000e+09
-5.165099669950231842e+00,1.224127503396752026e+00,6.627000106371092047e-02,2.399813664000000000e+09
-4.403071957448966067e+00,1.151789982644120514e+01,1.511563506273858049e-01,1.243668801600000000e+10
-4.026003403987190588e+00,8.313409484164356655e+00,7.475320211801758652e-02,8.772226208000000000e+09
-6.089804618634778066e+00,7.063624216738213946e+00,8.679429991906535691e-02,6.263217900000000000e+07
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.741330528870822292e+00,6.752837336117307743e-01,9.318617960408691336e-02,4.202449645000000000e+08
-3.399279842433717391e+00,5.678450587480797118e+00,1.735363031044446225e-01,2.416665539200000000e+10
-4.870485123808226291e+00,9.964540025654940791e+00,3.043047364628739121e-02,1.688328812000000000e+09
-3.965451229268516897e+00,7.629284990735025751e-01,7.018596139833808978e-02,8.010723968000000000e+09
-4.403071957448966067e+00,1.151789982644120514e+01,1.511563506273858049e-01,1.243668801600000000e+10
-4.058012884229212247e+00,1.230479332847562546e+01,7.716756629661832012e-02,8.909962512000000000e+09
-5.776353814201221404e+00,7.891376180732682322e+00,9.875490104677066283e-02,2.241094880000000000e+08
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.741330528870822292e+00,6.752837336117307743e-01,9.318617960408691336e-02,4.202449645000000000e+08
-3.399279842433717391e+00,5.678450587480797118e+00,1.735363031044446225e-01,2.416665539200000000e+10
-4.870485123808226291e+00,9.964540025654940791e+00,3.043047364628739121e-02,1.688328812000000000e+09
-3.965451229268516897e+00,7.629284990735025751e-01,7.018596139833808978e-02,8.010723968000000000e+09
-4.403071957448966067e+00,1.151789982644120514e+01,1.511563506273858049e-01,1.243668801600000000e+10
-4.058012884229212247e+00,1.230479332847562546e+01,7.716756629661832012e-02,8.909962512000000000e+09
-5.776353814201221404e+00,7.891376180732682322e+00,9.875490104677066283e-02,2.241094880000000000e+08
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.741330528870822292e+00,6.752837336117307743e-01,9.318617960408691336e-02,4.202449645000000000e+08
-3.160110814943077884e+00,5.755271667156193871e+00,1.776541945689842084e-01,2.526580348800000000e+10
-4.621299686105007964e+00,1.068229629496691047e+01,4.476475157199609478e-02,3.290835300000000000e+09
-3.965451229268516897e+00,7.629284990735025751e-01,7.018596139833808978e-02,8.010723968000000000e+09
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-4.058012884229212247e+00,1.230479332847562546e+01,7.716756629661832012e-02,8.909962512000000000e+09
-5.551871926722315109e+00,7.708091687206724885e+00,1.055247088725884408e-01,5.461105450000000000e+08
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.741330528870822292e+00,6.752837336117307743e-01,9.318617960408691336e-02,4.202449645000000000e+08
-3.160110814943077884e+00,5.755271667156193871e+00,1.776541945689842084e-01,2.526580348800000000e+10
-4.621299686105007964e+00,1.068229629496691047e+01,4.476475157199609478e-02,3.290835300000000000e+09
-3.965451229268516897e+00,7.629284990735025751e-01,7.018596139833808978e-02,8.010723968000000000e+09
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-4.028097641948092722e+00,1.239096149662048063e+01,7.888842687749704485e-02,9.251548184000000000e+09
-4.867152907554431529e+00,4.710472371112313539e+00,9.027206337443871575e-02,4.827168168000000000e+09
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.741330528870822292e+00,6.752837336117307743e-01,9.318617960408691336e-02,4.202449645000000000e+08
-2.993392143133569938e+00,6.083383542530072852e+00,1.831099080788987365e-01,2.575068694400000000e+10
-4.621299686105007964e+00,1.068229629496691047e+01,4.476475157199609478e-02,3.290835300000000000e+09
-4.268476469851951727e+00,2.089537354689857462e+00,7.693608289668284195e-02,8.011945344000000000e+09
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.977870218533251290e+00,1.307285666421014803e+01,9.230491446767631614e-02,1.119111046400000000e+10
-4.867152907554431529e+00,4.710472371112313539e+00,9.027206337443871575e-02,4.827168168000000000e+09
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-5.741330528870822292e+00,6.752837336117307743e-01,9.318617960408691336e-02,4.202449645000000000e+08
-2.993392143133569938e+00,6.083383542530072852e+00,1.831099080788987365e-01,2.575068694400000000e+10
-4.621299686105007964e+00,1.068229629496691047e+01,4.476475157199609478e-02,3.290835300000000000e+09
-4.268476469851951727e+00,2.089537354689857462e+00,7.693608289668284195e-02,8.011945344000000000e+09
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.866731857098733460e+00,1.458168802452313173e+01,1.219916143938060971e-01,1.532794252800000000e+10
-4.867152907554431529e+00,4.710472371112313539e+00,9.027206337443871575e-02,4.827168168000000000e+09
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-4.689367290121793097e+00,9.198325382735415445e+00,1.387547193188841399e-01,7.643817808000000000e+09
-2.993392143133569938e+00,6.083383542530072852e+00,1.831099080788987365e-01,2.575068694400000000e+10
-4.621299686105007964e+00,1.068229629496691047e+01,4.476475157199609478e-02,3.290835300000000000e+09
-4.177185156617647444e+00,4.928218455985437174e+00,8.717437485697493438e-02,9.760598864000000000e+09
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.416632343407551176e+00,1.690767417672374506e+01,1.680574179753994146e-01,2.215724148800000000e+10
-4.294083978555322645e+00,1.076808794733567609e+01,1.340264474946800122e-01,1.309418251200000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-4.689367290121793097e+00,9.198325382735415445e+00,1.387547193188841399e-01,7.643817808000000000e+09
-2.835944762605859371e+00,2.056695611371383237e+00,1.887095064527797295e-01,2.753993180800000000e+10
-4.157884057190246452e+00,1.307709633980461561e+01,9.219340387859410735e-02,1.026231053600000000e+10
-4.177185156617647444e+00,4.928218455985437174e+00,8.717437485697493438e-02,9.760598864000000000e+09
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.416632343407551176e+00,1.690767417672374506e+01,1.680574179753994146e-01,2.215724148800000000e+10
-4.301598644690455941e+00,1.064069119850705292e+01,1.363345351429006425e-01,1.317491692800000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-4.496120366286409542e+00,8.453704032774279398e+00,1.439632504558262804e-01,1.103157076000000000e+10
-2.835944762605859371e+00,2.056695611371383237e+00,1.887095064527797295e-01,2.753993180800000000e+10
-4.157884057190246452e+00,1.307709633980461561e+01,9.219340387859410735e-02,1.026231053600000000e+10
-4.177185156617647444e+00,4.928218455985437174e+00,8.717437485697493438e-02,9.760598864000000000e+09
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.416632343407551176e+00,1.690767417672374506e+01,1.680574179753994146e-01,2.215724148800000000e+10
-3.973024373445208646e+00,1.413743687511074043e+01,1.600061085236928748e-01,1.847272955200000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.699891579371824779e+00,5.385665781902538640e+00,1.654237857464528616e-01,2.173542592000000000e+10
-2.835944762605859371e+00,2.056695611371383237e+00,1.887095064527797295e-01,2.753993180800000000e+10
-4.157884057190246452e+00,1.307709633980461561e+01,9.219340387859410735e-02,1.026231053600000000e+10
-4.177185156617647444e+00,4.928218455985437174e+00,8.717437485697493438e-02,9.760598864000000000e+09
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.154759583429862957e+00,1.021032628457646574e+01,1.773708932203985622e-01,2.426364548800000000e+10
-3.973024373445208646e+00,1.413743687511074043e+01,1.600061085236928748e-01,1.847272955200000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.699891579371824779e+00,5.385665781902538640e+00,1.654237857464528616e-01,2.173542592000000000e+10
-2.152375973929290254e+00,-5.772397916533664741e-01,2.071335478263781060e-01,2.903672009600000000e+10
-3.975691608520275366e+00,1.001739419405278753e+01,1.213249360231720142e-01,1.481487193600000000e+10
-4.145258354389945055e+00,6.368362300314189817e+00,9.856385093825538457e-02,1.127808294400000000e+10
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.001901167996021691e+00,1.024625044485092928e+01,1.878067100076623031e-01,2.487736662400000000e+10
-3.527740313763426006e+00,1.053860309434139708e+01,1.715322755203991523e-01,2.294519017600000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.699891579371824779e+00,5.385665781902538640e+00,1.654237857464528616e-01,2.173542592000000000e+10
-2.104052988865155349e+00,-7.634384935962712504e-01,2.084359839394152036e-01,2.917233865600000000e+10
-3.785783576961797792e+00,1.023835963704429908e+01,1.426102345038520181e-01,1.838069454400000000e+10
-4.145258354389945055e+00,6.368362300314189817e+00,9.856385093825538457e-02,1.127808294400000000e+10
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.001901167996021691e+00,1.024625044485092928e+01,1.878067100076623031e-01,2.487736662400000000e+10
-2.924376492297142249e+00,1.461325720382457050e+01,2.428281804264134092e-01,2.930209132800000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.477717901403456047e+00,4.529583518178835533e+00,1.714119717239588059e-01,2.366012619200000000e+10
-2.104052988865155349e+00,-7.634384935962712504e-01,2.084359839394152036e-01,2.917233865600000000e+10
-3.785783576961797792e+00,1.023835963704429908e+01,1.426102345038520181e-01,1.838069454400000000e+10
-4.145258354389945055e+00,6.368362300314189817e+00,9.856385093825538457e-02,1.127808294400000000e+10
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.001901167996021691e+00,1.024625044485092928e+01,1.878067100076623031e-01,2.487736662400000000e+10
-2.924376492297142249e+00,1.461325720382457050e+01,2.428281804264134092e-01,2.930209132800000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.446722591753591303e+00,3.955208319756319035e+00,1.743097913592469017e-01,2.416807182400000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.785783576961797792e+00,1.023835963704429908e+01,1.426102345038520181e-01,1.838069454400000000e+10
-3.898462428756679365e+00,7.205412178971687176e+00,1.178270997919736995e-01,1.497793966400000000e+10
-3.632601505084267490e+00,1.776027742390603947e+01,1.845312938900511845e-01,2.314322358400000000e+10
-3.001901167996021691e+00,1.024625044485092928e+01,1.878067100076623031e-01,2.487736662400000000e+10
-2.602125787464609985e+00,1.318132601566656703e+01,2.693539489839997247e-01,3.966867804800000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.223349466287222409e+00,-1.841271058719442522e-01,1.951934358939913239e-01,2.725772665600000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.629010781436174504e+00,7.333197322020454934e+00,1.572672677867937296e-01,2.110191200000000000e+10
-3.898462428756679365e+00,7.205412178971687176e+00,1.178270997919736995e-01,1.497793966400000000e+10
-3.624710634492407824e+00,1.766626730368127340e+01,1.845722735490091804e-01,2.319806580800000000e+10
-3.001901167996021691e+00,1.024625044485092928e+01,1.878067100076623031e-01,2.487736662400000000e+10
-2.602125787464609985e+00,1.318132601566656703e+01,2.693539489839997247e-01,3.966867804800000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.223349466287222409e+00,-1.841271058719442522e-01,1.951934358939913239e-01,2.725772665600000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.465362751315517631e+00,4.300629787325215503e+00,1.725670818656610539e-01,2.386357569600000000e+10
-3.898462428756679365e+00,7.205412178971687176e+00,1.178270997919736995e-01,1.497793966400000000e+10
-3.597109637200810450e+00,1.643872282060324963e+01,1.853026747346256387e-01,2.351784019200000000e+10
-3.001901167996021691e+00,1.024625044485092928e+01,1.878067100076623031e-01,2.487736662400000000e+10
-2.602125787464609985e+00,1.318132601566656703e+01,2.693539489839997247e-01,3.966867804800000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.223349466287222409e+00,-1.841271058719442522e-01,1.951934358939913239e-01,2.725772665600000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.465362751315517631e+00,4.300629787325215503e+00,1.725670818656610539e-01,2.386357569600000000e+10
-3.570935312440909559e+00,3.620420292556192798e+00,1.553609265322014599e-01,2.133877990400000000e+10
-3.597109637200810450e+00,1.643872282060324963e+01,1.853026747346256387e-01,2.351784019200000000e+10
-3.175754480680665015e+00,8.015934309749574993e+00,1.820900337351813170e-01,2.532550416000000000e+10
-2.643678058988121471e+00,1.580687359005510295e+01,2.819278721567177737e-01,4.115909750400000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.223349466287222409e+00,-1.841271058719442522e-01,1.951934358939913239e-01,2.725772665600000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.465362751315517631e+00,4.300629787325215503e+00,1.725670818656610539e-01,2.386357569600000000e+10
-3.570935312440909559e+00,3.620420292556192798e+00,1.553609265322014599e-01,2.133877990400000000e+10
-3.597109637200810450e+00,1.643872282060324963e+01,1.853026747346256387e-01,2.351784019200000000e+10
-3.175754480680665015e+00,8.015934309749574993e+00,1.820900337351813170e-01,2.532550416000000000e+10
-2.643678058988121471e+00,1.580687359005510295e+01,2.819278721567177737e-01,4.115909750400000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.223349466287222409e+00,-1.841271058719442522e-01,1.951934358939913239e-01,2.725772665600000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.363646925439777835e+00,5.605514026473001010e+00,1.759117201664244512e-01,2.458409542400000000e+10
-3.570935312440909559e+00,3.620420292556192798e+00,1.553609265322014599e-01,2.133877990400000000e+10
-3.463492043837122836e+00,1.049612814393589311e+01,1.888385777159923284e-01,2.507193726400000000e+10
-3.175754480680665015e+00,8.015934309749574993e+00,1.820900337351813170e-01,2.532550416000000000e+10
-2.643678058988121471e+00,1.580687359005510295e+01,2.819278721567177737e-01,4.115909750400000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.223349466287222409e+00,-1.841271058719442522e-01,1.951934358939913239e-01,2.725772665600000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.323484955499927729e+00,6.120740847239901861e+00,1.772323333722694294e-01,2.481651038400000000e+10
-3.524683953648675150e+00,4.134864515419835129e+00,1.584892602672525463e-01,2.192912430400000000e+10
-3.463492043837122836e+00,1.049612814393589311e+01,1.888385777159923284e-01,2.507193726400000000e+10
-3.075855111086916782e+00,9.127094173962092327e+00,1.888469934477450540e-01,2.568048528000000000e+10
-2.643678058988121471e+00,1.580687359005510295e+01,2.819278721567177737e-01,4.115909750400000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.223349466287222409e+00,-1.841271058719442522e-01,1.951934358939913239e-01,2.725772665600000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.093850054937606231e+00,9.392661359730887227e+00,2.125978905054014823e-01,2.792472931200000000e+10
-3.524683953648675150e+00,4.134864515419835129e+00,1.584892602672525463e-01,2.192912430400000000e+10
-3.453452323856110340e+00,1.056116533304812322e+01,1.899785807736213972e-01,2.522062963200000000e+10
-3.075855111086916782e+00,9.127094173962092327e+00,1.888469934477450540e-01,2.568048528000000000e+10
-2.578646823476647754e+00,1.622814517633046449e+01,2.893121226601862439e-01,4.140314745600000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.223349466287222409e+00,-1.841271058719442522e-01,1.951934358939913239e-01,2.725772665600000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.093850054937606231e+00,9.392661359730887227e+00,2.125978905054014823e-01,2.792472931200000000e+10
-3.400636951898129645e+00,5.720568880999053363e+00,1.756431153567633574e-01,2.440103380800000000e+10
-3.453452323856110340e+00,1.056116533304812322e+01,1.899785807736213972e-01,2.522062963200000000e+10
-2.730385773705787056e+00,4.258382311942278342e+00,1.960157376613274882e-01,2.687036032000000000e+10
-2.578646823476647754e+00,1.622814517633046449e+01,2.893121226601862439e-01,4.140314745600000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.178012648233167869e+00,3.168638066434681377e+00,2.012866110198401892e-01,2.822188019200000000e+10
-2.383553102943977819e+00,-6.295430567022375357e-01,2.032127720506980706e-01,2.974847580800000000e+10
-3.093850054937606231e+00,9.392661359730887227e+00,2.125978905054014823e-01,2.792472931200000000e+10
-3.400636951898129645e+00,5.720568880999053363e+00,1.756431153567633574e-01,2.440103380800000000e+10
-3.453452323856110340e+00,1.056116533304812322e+01,1.899785807736213972e-01,2.522062963200000000e+10
-2.860634518708917273e+00,6.098269852483880982e+00,2.019580123466718502e-01,2.723008412800000000e+10
-2.578646823476647754e+00,1.622814517633046449e+01,2.893121226601862439e-01,4.140314745600000000e+10
-1.067373557961994912e+01,3.341895768302141079e+00,4.828839996404948876e-02,6.354830351562500000e+05
-3.178012648233167869e+00,3.168638066434681377e+00,2.012866110198401892e-01,2.822188019200000000e+10
-2.478806205915498051e+00,7.601101726423696192e+00,2.452501594509411409e-01,3.433285878400000000e+10
-3.117687868233590009e+00,9.729393169899068994e+00,2.136854313834290475e-01,2.797868985600000000e+10
-3.400636951898129645e+00,5.720568880999053363e+00,1.756431153567633574e-01,2.440103380800000000e+10
-3.245545090681115408e+00,1.190798596822271804e+01,2.135862991134694355e-01,2.762423750400000000e+10
-2.860634518708917273e+00,6.098269852483880982e+00,2.019580123466718502e-01,2.723008412800000000e+10
-2.578646823476647754e+00,1.622814517633046449e+01,2.893121226601862439e-01,4.140314745600000000e+10
-7.599467205226327238e+00,5.940725474427429376e+00,1.155821601854091080e-01,6.510894921875000000e+05
-3.178012648233167869e+00,3.168638066434681377e+00,2.012866110198401892e-01,2.822188019200000000e+10
-2.478806205915498051e+00,7.601101726423696192e+00,2.452501594509411409e-01,3.433285878400000000e+10
-3.147507424525243902e+00,6.486301257671925669e+00,2.075564853386240582e-01,2.825735020800000000e+10
-3.307417707236714577e+00,4.652001527634563871e+00,1.863807898012742603e-01,2.606957248000000000e+10
-3.048974222616913643e+00,1.318136976223537715e+01,2.359067812641463535e-01,2.894243456000000000e+10
-2.860634518708917273e+00,6.098269852483880982e+00,2.019580123466718502e-01,2.723008412800000000e+10
-2.578646823476647754e+00,1.622814517633046449e+01,2.893121226601862439e-01,4.140314745600000000e+10
-7.599467205226327238e+00,5.940725474427429376e+00,1.155821601854091080e-01,6.510894921875000000e+05
-3.116831963908059056e+00,7.915950924501911068e+00,2.177009906659261862e-01,2.876783680000000000e+10
-2.288668108282843505e+00,8.349463186269737491e+00,2.668082425396938739e-01,4.140492502400000000e+10
-3.147507424525243902e+00,6.486301257671925669e+00,2.075564853386240582e-01,2.825735020800000000e+10
-3.307417707236714577e+00,4.652001527634563871e+00,1.863807898012742603e-01,2.606957248000000000e+10
-3.048974222616913643e+00,1.318136976223537715e+01,2.359067812641463535e-01,2.894243456000000000e+10
